0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
217,TUTICORIN STG IV (1X525 MW),PRIVATE,525,24-02-16,TAMILNADU,BTG,PSSR,MEGHA ENGINEERING & INFRASTRUCTURES LTD. (MEIL) ,06-11-16,15-12-16,05-04-17,13-08-17,N.A.,N.A.,20-01-18,20-10-18,17-09-18,20-10-20,N.A.,N.A.,30-09-18,28-10-20,09-10-18,02-11-20,20-10-18,12-01-21,18-11-18,15-02-21,N.A.,N.A.,25-08-17,08-09-17,01-10-17,21-02-18,27-07-18,31-12-20,12-08-18,30-12-19,01-10-18,25-08-20,25-10-18,12-01-21,N.A.,N.A.,13-02-18,21-09-21,08-01-19,15-10-21,08-01-19,30-11-21,08-01-19,15-01-22,08-01-19,31-01-22,N.A.,N.A.
218,UDANGUDI STPP UNIT-1 (2X660 MW),STATE,660,07-12-17,TAMIL NADU,EPC,PSSR,TANGEDCO,27-09-18,20-09-19,N.A.,N.A.,09-02-19,26-06-21,27-02-20,27-04-22,09-07-20,10-11-22,N.A.,N.A.,23-07-20,22-10-22,30-07-20,30-11-22,13-08-20,12-01-23,03-09-20,22-02-23,N.A.,N.A.,15-08-19,05-05-22,N.A.,N.A.,30-07-20,06-02-23,30-07-20,10-02-23,17-09-20,20-03-23,15-10-20,28-03-23,N.A.,N.A.,10-12-20,12-04-23,07-01-21,25-04-23,07-01-21,25-04-23,15-01-21,12-05-23,25-02-21,25-05-23,08-04-21,20-06-23
219,UDANGUDI STPP UNIT-2 (2X660 MW),STATE,660,07-12-17,TAMIL NADU,EPC,PSSR,TANGEDCO,27-11-18,16-09-19,N.A.,N.A.,09-04-19,18-06-21,27-04-20,20-05-22,09-09-20,24-12-22,N.A.,N.A.,23-09-20,10-01-23,30-09-20,18-01-23,13-10-20,02-02-23,03-11-20,08-03-23,N.A.,N.A.,15-10-19,08-06-22,N.A.,N.A.,30-09-20,05-03-23,01-10-20,10-03-23,17-11-20,12-04-23,15-12-20,18-04-23,N.A.,N.A.,10-02-21,25-04-23,07-03-21,12-05-23,07-03-21,12-05-23,15-03-21,20-05-23,25-04-21,28-05-23,08-06-21,30-06-23
220,UPPUR (2X800 MW) UNIT-1,STATE,800,03-08-17,TAMILNADU,BTG & ITS CIVIL WORKS,PSSR,TANGEDCO,29-03-18,10-07-20,N.A.,N.A.,08-09-18,,01-08-19,,13-02-20,,N.A.,N.A.,12-03-20,,19-03-20,,02-04-20,,16-04-20,,N.A.,N.A.,11-04-19,,25-05-19,,13-02-20,,19-03-20,,16-04-20,,02-04-20,,N.A.,N.A.,07-05-20,,03-06-20,,06-06-20,,06-06-20,,06-07-20,,02-02-21,
221,UPPUR (2X800 MW) UNIT-2,STATE,800,03-08-17,TAMILNADU,BTG & ITS CIVIL WORKS,PSSR,TANGEDCO,14-05-18,25-09-19,N.A.,N.A.,14-10-18,,01-10-19,,14-04-20,,N.A.,N.A.,13-05-20,,20-05-20,,31-05-20,,14-06-20,,N.A.,N.A.,09-06-19,,23-06-19,,14-04-20,,21-04-20,,21-05-20,,31-05-20,,N.A.,N.A.,06-07-20,,31-07-20,,03-08-20,,03-08-20,,03-09-20,,02-02-21,
222,VIJAYAWADA DR NTTPS STAGE-V (1X800MW),STATE,800,15-12-15,ANDHRA PRADESH,BTG,PSSR,APGENCO (ANDHRA PRADESH POWER GENERATION CORP LTD),25-10-16,22-05-17,N.A.,N.A.,06-04-17,27-12-17,27-03-18,03-03-19,11-12-18,28-12-19,N.A.,N.A.,12-12-18,02-03-20,25-12-18,13-03-20,27-12-18,03-04-21,20-01-19,01-06-21,N.A.,N.A.,26-08-17,22-08-18,23-11-17,03-10-18,14-11-18,05-06-20,30-11-18,17-06-20,14-01-19,18-11-20,14-02-19,22-02-21,N.A.,N.A.,14-03-19,07-12-21,30-04-19,28-02-22,14-06-19,28-02-22,14-06-19,28-02-22,14-06-19,28-02-22,N.A.,N.A.
223,YADADRI TPS (5X800 MW) UNIT-1,STATE,800,17-10-17,TELANGANA,EPC,PSSR,TSGENCO,01-07-18,08-01-20,N.A.,N.A.,15-12-18,20-03-21,31-10-19,31-03-22,15-04-20,30-07-22,N.A.,N.A.,10-05-20,15-08-22,15-05-20,20-08-22,10-06-20,15-09-22,10-07-20,30-10-22,N.A.,N.A.,18-03-19,25-10-21,17-04-19,20-12-21,16-05-20,30-05-22,16-04-20,25-04-22,16-06-20,25-06-22,01-07-20,30-09-22,N.A.,N.A.,16-07-20,30-10-22,N.A.,N.A.,16-09-20,28-02-23,16-09-20,28-02-23,16-10-20,31-03-23,N.A.,N.A.
224,YADADRI TPS (5X800 MW) UNIT-2,STATE,800,17-10-17,TELANGANA,EPC,PSSR,TSGENCO,01-07-18,30-07-20,N.A.,N.A.,15-12-18,31-03-21,31-10-19,30-03-22,15-04-20,30-09-22,N.A.,N.A.,01-04-20,10-10-22,15-04-20,15-10-22,10-06-20,15-11-22,10-07-20,28-11-22,N.A.,N.A.,18-03-19,31-01-22,17-04-19,31-01-22,16-05-20,30-07-22,16-04-20,25-06-22,16-06-20,25-08-22,01-07-20,30-10-22,N.A.,N.A.,16-07-20,31-12-22,N.A.,N.A.,16-09-20,31-03-23,16-09-20,30-03-23,16-10-20,30-04-23,N.A.,N.A.
225,YADADRI TPS (5X800 MW) UNIT-3,STATE,800,17-10-17,TELANGANA,EPC,PSSR,TSGENCO,01-03-19,19-03-20,N.A.,N.A.,15-08-19,11-04-21,30-06-20,31-05-22,15-12-20,30-11-22,N.A.,N.A.,01-01-21,01-12-22,15-01-21,05-12-22,10-02-21,06-12-22,10-03-21,29-12-22,N.A.,N.A.,18-11-19,31-01-22,17-12-19,31-01-22,16-01-21,30-08-22,16-12-20,25-10-22,16-02-21,25-12-23,01-03-21,30-12-22,N.A.,N.A.,16-03-21,31-01-23,N.A.,N.A.,16-09-21,30-04-23,19-09-21,30-04-23,16-10-21,31-05-23,N.A.,N.A.
226,YADADRI TPS (5X800 MW) UNIT-4,STATE,800,17-10-17,TELANGANA,EPC,PSSR,TSGENCO,01-03-19,30-07-20,N.A.,N.A.,15-08-19,10-06-21,30-06-20,31-07-22,15-12-20,01-01-23,N.A.,N.A.,01-01-21,09-12-23,15-01-21,15-12-23,10-02-21,30-12-23,10-03-21,31-01-23,N.A.,N.A.,18-11-19,28-02-22,17-12-20,28-02-22,16-01-21,31-10-22,16-12-20,25-10-22,16-02-21,25-12-22,01-03-21,30-01-23,N.A.,N.A.,16-03-21,30-03-23,N.A.,N.A.,16-05-21,30-05-23,19-09-21,30-05-23,16-10-21,30-06-23,N.A.,N.A.
227,YADADRI TPS (5X800 MW) UNIT-5,STATE,800,17-10-17,TELANGANA,EPC,PSSR,TSGENCO,01-07-19,14-08-20,N.A.,N.A.,15-12-19,07-09-21,31-10-20,30-09-22,15-04-21,31-03-23,N.A.,N.A.,01-05-21,25-01-23,15-05-21,31-01-23,10-06-21,28-02-23,10-07-21,30-03-23,N.A.,N.A.,18-03-20,31-03-22,17-04-20,20-01-22,16-05-21,30-11-22,16-04-21,25-12-22,16-06-21,25-02-23,01-07-21,31-01-23,N.A.,N.A.,16-07-21,31-05-23,N.A.,N.A.,16-09-21,30-06-23,19-09-21,30-06-23,16-10-21,30-06-23,N.A.,N.A.
228,CHANDWA PH-I UNIT-1 (2X270MW ),PRIVATE,270,07-01-10,JHARKHAND,BTG,PSER,ABHIJEET PROJECTS LIMITED,31-10-10,05-10-10,30-04-11,03-04-11,N.A.,N.A.,30-11-11,26-12-11,30-04-12,,N.A.,N.A.,05-05-12,,15-05-12,,01-06-12,,30-06-12,,N.A.,N.A.,31-05-11,26-05-11,31-07-11,27-07-11,29-02-12,,01-03-12,,15-03-12,,31-03-12,,N.A.,N.A.,07-07-12,,07-09-12,,N.A.,N.A.,07-09-12,,07-09-12,,N.A.,N.A.
229,CHANDWA PH-I UNIT-2 (2X270MW ),PRIVATE,270,07-01-10,JHARKHAND,BTG,PSER,ABHIJEET PROJECTS LIMITED,31-01-11,19-12-10,31-07-11,19-07-11,N.A.,N.A.,29-02-12,24-08-12,31-07-12,,N.A.,N.A.,05-08-12,,16-08-12,,25-08-12,,30-09-12,,N.A.,N.A.,31-08-11,24-08-11,31-10-11,18-09-11,31-05-12,,01-06-12,,15-06-12,,30-06-12,,N.A.,N.A.,07-10-12,,07-12-12,,N.A.,N.A.,07-12-12,,07-12-12,,N.A.,N.A.
230,CHANDWA PH-II UNIT-3 (2X270MW ),PRIVATE,270,29-06-10,JHARKHAND,BTG,PSER,ABHIJEET PROJECTS LIMITED,31-03-11,21-06-11,30-09-11,21-12-11,N.A.,N.A.,30-04-12,,30-09-12,,N.A.,N.A.,05-10-12,,20-10-12,,30-10-12,,30-11-12,,N.A.,N.A.,31-10-11,,31-12-11,,31-07-12,,14-08-12,,31-08-12,,31-08-12,,N.A.,N.A.,29-12-12,,28-02-13,,N.A.,N.A.,28-02-13,,28-02-13,,N.A.,N.A.
231,CHANDWA PH-II UNIT-4 (2X270MW ),PRIVATE,270,29-06-10,JHARKHAND,BTG,PSER,ABHIJEET PROJECTS LIMITED,30-06-11,26-07-11,31-12-11,30-04-12,N.A.,N.A.,31-07-12,,31-12-12,,N.A.,N.A.,05-01-13,,10-01-13,,01-02-13,,28-02-13,,N.A.,N.A.,31-01-12,,31-03-12,,31-10-12,,15-11-12,,30-11-12,,30-11-12,,N.A.,N.A.,29-03-13,,29-05-13,,N.A.,N.A.,29-05-13,,29-05-13,,N.A.,N.A.
232,AMRAVATI TPP PH-II UNIT-6 (5 X 270 MW),PRIVATE,270,11-10-10,MAHARASHTRA,BTG,PSWR,INDIA BULLS,11-06-11,23-11-11,11-10-11,,N.A.,N.A.,11-07-12,,11-10-12,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-02-12,,N.A.,N.A.,11-12-12,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-01-13,,11-04-13,,N.A.,N.A.,11-04-13,,11-04-13,,N.A.,N.A.
233,AMRAVATI TPP PH-II UNIT-7 (5 X 270 MW),PRIVATE,270,11-10-10,MAHARASHTRA,BTG,PSWR,INDIA BULLS,11-08-11,31-01-12,11-12-11,,N.A.,N.A.,11-09-12,,11-12-12,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-04-12,,N.A.,N.A.,11-02-13,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-03-13,,11-06-13,,N.A.,N.A.,11-06-13,,11-06-13,,N.A.,N.A.
234,AMRAVATI TPP PH-II UNIT-8 (5 X 270 MW),PRIVATE,270,11-10-10,MAHARASHTRA,BTG,PSWR,INDIA BULLS,11-10-11,,11-02-12,,N.A.,N.A.,11-11-12,,11-02-13,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-06-12,,N.A.,N.A.,11-04-13,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-05-13,,11-08-13,,N.A.,N.A.,11-08-13,,11-08-13,,N.A.,N.A.
235,AMRAVATI TPP PH-II UNIT-9 (5 X 270 MW),PRIVATE,270,11-10-10,MAHARASHTRA,BTG,PSWR,INDIA BULLS,11-12-11,,12-04-12,,N.A.,N.A.,11-01-13,,11-04-13,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-08-12,,N.A.,N.A.,11-06-13,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-07-13,,11-10-13,,N.A.,N.A.,11-10-13,,11-10-13,,N.A.,N.A.
236,AMRAVATI UNIT #10 (PH-II) (5 X 270 MW),PRIVATE,270,11-10-10,MAHARASHTRA,BTG,PSWR,INDIA BULLS,11-02-12,,11-06-12,,N.A.,N.A.,11-03-13,,11-06-13,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-10-12,,N.A.,N.A.,11-08-13,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-09-13,,11-12-13,,N.A.,N.A.,11-12-13,,11-12-13,,N.A.,N.A.
237,KAIZEN TPS (ABHIJEET GROUP) VIZAG ( 1X300 MW),PRIVATE,300,12-03-12,AHDHRA PRADESH,BTG,PSER,ABHIJEET GROUP,12-09-12,,02-02-13,,N.A.,N.A.,12-09-13,,12-01-14,,N.A.,N.A.,,,12-02-14,,,,12-04-14,,N.A.,N.A.,12-04-13,,12-05-13,,31-01-14,,,,12-04-14,,12-05-14,,N.A.,N.A.,12-06-14,,13-08-14,,N.A.,N.A.,12-08-14,,12-07-14,,N.A.,N.A.
238,MPCL MALIBRAHAMANI UNIT-1 (2 X 525 MW),PRIVATE,525,12-06-09,ORISSA,BTG,PSSR,MONNET POWER CO LTD,13-03-10,03-08-11,10-08-10,24-03-12,N.A.,N.A.,14-06-11,03-04-13,05-03-12,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,04-04-12,,03-05-12,,N.A.,N.A.,08-04-11,10-10-12,08-06-11,28-01-13,24-01-12,,13-02-12,,13-03-12,,11-04-12,,N.A.,N.A.,07-05-12,,05-07-12,,N.A.,N.A.,05-07-12,,05-07-12,,N.A.,N.A.
239,MPCL MALIBRAHAMANI UNIT-2 (2 X 525 MW),PRIVATE,525,12-06-09,ORISSA,BTG,PSSR,MONNET POWER CO LTD,13-06-10,10-10-11,10-11-10,20-07-12,N.A.,N.A.,14-09-11,,05-06-12,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,04-07-12,,03-08-12,,N.A.,N.A.,08-07-11,07-02-13,08-09-11,,23-04-12,,13-05-12,,13-06-12,,10-07-12,,N.A.,N.A.,05-08-12,,03-10-12,,N.A.,N.A.,03-10-12,,03-10-12,,N.A.,N.A.
240,NASIK INDIA BULLS PH-II UNIT-6 (5 X 270 MW ),PRIVATE,270,08-10-10,MAHARASHTRA,BTG,PSWR,INDIA BULLS,08-10-11,,08-08-12,,N.A.,N.A.,N.A.,N.A.,08-04-13,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,08-06-12,,N.A.,N.A.,08-06-13,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,08-05-13,,08-07-13,,N.A.,N.A.,08-07-13,,08-07-13,,N.A.,N.A.
241,NASIK INDIA BULLS PH-II UNIT-7 (5 X 270 MW ),PRIVATE,270,08-10-10,MAHARASHTRA,BTG,PSWR,INDIA BULLS,30-12-11,,30-04-12,,N.A.,N.A.,,,,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,08-08-13,,08-10-13,,N.A.,N.A.,08-10-13,,08-10-13,,N.A.,N.A.
242,NASIK INDIA BULLS PH-II UNIT-8 (5 X 270 MW ),PRIVATE,270,08-10-10,MAHARASHTRA,BTG,PSWR,INDIA BULLS,29-02-12,,30-06-12,,N.A.,N.A.,,,,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,08-11-13,,08-01-14,,N.A.,N.A.,08-01-14,,08-01-14,,N.A.,N.A.
243,NASIK INDIA BULLS PH-II UNIT-9 (5 X 270 MW ),PRIVATE,270,08-10-10,MAHARASHTRA,BTG,PSWR,INDIA BULLS,08-08-11,,08-12-11,,N.A.,N.A.,N.A.,N.A.,31-12-12,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,06-04-12,,N.A.,N.A.,06-12-12,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,08-01-14,,08-04-14,,N.A.,N.A.,08-04-14,,08-04-14,,N.A.,N.A.
244,NASIK UNIT # 10 (5 X 270 MW) (PH-II),PRIVATE,270,08-10-10,MAHARASHTRA,BTG,PSWR,INDIA BULLS,08-06-11,28-09-11,08-10-11,,N.A.,N.A.,,,07-10-12,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,06-02-12,,N.A.,N.A.,06-12-12,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,08-03-14,,08-07-14,,N.A.,N.A.,08-07-14,,08-07-14,,N.A.,N.A.
245,RAGHUNATHPUR PH-2 TPS TG PACKAGE UNIT-1 (2X660 MW) ,CENTRAL,660,04-09-12,WEST BENGAL,TG,PSER,DVC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,04-09-14,,04-11-14,,04-12-15,,N.A.,N.A.,04-02-16,,04-03-16,,N.A.,N.A.,04-09-16,,04-09-16,,N.A.,N.A.,04-11-16,,04-11-16,,N.A.,N.A.
246,RAGHUNATHPUR PH-2 TPS TG PACKAGE UNIT-2 (2X660 MW) ,CENTRAL,660,04-09-12,WEST BENGAL,TG,PSER,DVC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,04-03-15,,04-05-15,,04-06-16,,N.A.,N.A.,04-08-16,,04-09-16,,N.A.,N.A.,04-03-17,,04-03-17,,N.A.,N.A.,04-05-17,,04-05-17,,N.A.,N.A.
247,SURANA TPP UNIT-1 (2X210 MW),PRIVATE,210,30-03-10,KARNATAKA,BTG,PSSR,SURANA POWER LIMITED,30-01-11,08-09-11,29-08-11,10-05-12,N.A.,N.A.,29-05-12,,29-09-12,,N.A.,N.A.,,,,,,,29-10-12,,N.A.,N.A.,29-11-11,,29-12-11,,29-07-12,,,,29-09-12,,29-10-12,,15-11-12,,29-11-12,,29-01-13,,N.A.,N.A.,29-01-13,,29-01-13,,29-01-13,
248,SURANA TPP UNIT-2 (2X210 MW),PRIVATE,210,30-03-10,KARNATAKA,BTG,PSSR,SURANA POWER LIMITED,30-04-11,24-04-12,29-11-11,23-09-12,N.A.,N.A.,29-08-12,,29-12-12,,N.A.,N.A.,,,,,,,29-01-13,,N.A.,N.A.,29-02-12,,29-03-12,,29-10-12,,,,29-12-12,,29-01-13,,15-02-13,,28-02-13,,29-04-13,,N.A.,N.A.,29-04-13,,29-04-13,,29-04-13,
249,VISA RAIGARH TPP UNIT-1 (2X600 MW),PRIVATE,600,09-08-10,CHHATTISGARH,BTG,PSWR,VISA POWER LTD,20-05-11,30-09-11,,,N.A.,N.A.,,,,,N.A.,N.A.,,,,,,,,,N.A.,N.A.,,,N.A.,N.A.,,,,,,,N.A.,N.A.,N.A.,N.A.,,,,,N.A.,N.A.,,,,,N.A.,N.A.
250,VISA RAIGARH TPP UNIT-2 (2X600 MW),PRIVATE,600,09-08-10,CHHATTISGARH,BTG,PSWR,VISA POWER LTD,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
