0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,PROJECT START_Schedule,PROJECT START_Schedule_Exp/Actual,SITE OPENING_Schedule,SITE OPENING_Schedule_Exp/Actual,CVL START_Schedule,CVL START_Schedule_Exp/Actual,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
146,HNPCL/VIZAG TPP UNIT-2 (2 X 520 MW),PRIVATE,520,30-06-2010,AHDHRA PRADESH,EPC,PSER,HINDUJA NATIONAL POWER CORPORATION LTD (HNPCL),30-06-2010,30-06-2010,N.A.,N.A.,N.A.,N.A.,30-09-2011,29-09-2011,15-02-2012,18-04-2012,N.A.,N.A.,30-12-2012,28-03-2013,15-05-2013,30-07-2014,N.A.,N.A.,17-05-2013,17-04-2015,02-06-2013,26-04-2015,15-06-2013,05-10-2015,15-07-2013,21-01-2016,N.A.,N.A.,15-05-2012,23-11-2012,15-06-2012,04-03-2013,30-04-2013,20-02-2014,01-06-2013,21-08-2014,30-06-2013,21-04-2015,30-07-2013,30-05-2015,N.A.,N.A.,15-08-2013,31-03-2016,15-09-2013,31-03-2016,N.A.,N.A.,30-09-2013,02-07-2016,30-09-2013,16-03-2017,30-09-2013,
147,LALITPUR STP PROJECT UNIT-3 (3 X 660 MW),PRIVATE,660,21-03-2011,UTTAR PRADESH,BTG,PSNR,LALITPUR POWER GENERATION COMPANY LIMITED (LPGCL),21-03-2011,21-03-2011,20-12-2011,20-12-2011,N.A.,N.A.,20-10-2012,28-11-2012,N.A.,N.A.,,28-09-2013,20-05-2014,31-03-2015,05-01-2015,09-01-2016,N.A.,N.A.,,13-01-2016,02-02-2015,20-01-2016,,16-02-2016,02-04-2015,08-03-2016,N.A.,N.A.,20-09-2013,25-05-2015,20-11-2013,15-06-2015,05-01-2015,10-02-2016,,14-12-2015,05-03-2015,18-02-2016,15-04-2015,16-03-2016,N.A.,N.A.,20-05-2015,30-03-2016,05-06-2015,01-04-2016,N.A.,N.A.,20-06-2015,23-12-2016,20-06-2015,10-02-2017,N.A.,N.A.
148,BHAVNAGAR CFBC BECL UNIT-1 ( 2X 250 MW),STATE,250,18-02-2010,GUJARAT,BTG,PSWR,GSECL,N.A.,N.A.,01-11-2010,08-11-2010,N.A.,N.A.,19-11-2010,31-12-2011,22-05-2011,03-06-2012,N.A.,N.A.,20-03-2012,05-03-2014,16-08-2012,28-02-2015,N.A.,N.A.,17-08-2012,04-06-2015,16-09-2012,08-06-2015,01-10-2012,20-07-2015,31-10-2012,04-10-2015,N.A.,N.A.,30-11-2011,29-05-2013,N.A.,N.A.,18-07-2012,27-06-2014,17-08-2012,18-11-2014,17-09-2012,30-06-2015,18-10-2012,30-10-2015,N.A.,N.A.,17-12-2012,25-11-2015,05-02-2013,16-05-2016,N.A.,N.A.,18-02-2013,29-01-2017,05-02-2013,24-03-2017,N.A.,N.A.
149,MARWA TPP UNIT-2 (2X500 MW),STATE,500,28-02-2009,CHHATTISGARH,BTG + CIVIL,PSER,CSPGCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-03-2010,26-04-2010,31-10-2010,06-03-2011,N.A.,N.A.,30-10-2011,06-09-2012,30-03-2012,08-05-2014,N.A.,N.A.,21-04-2012,24-06-2014,27-04-2012,29-06-2014,24-05-2012,03-09-2014,31-05-2012,23-09-2014,N.A.,N.A.,31-01-2011,20-10-2011,N.A.,N.A.,21-02-2012,02-12-2013,28-02-2012,29-03-2014,27-03-2012,18-10-2014,21-06-2012,16-01-2015,N.A.,N.A.,28-07-2012,31-03-2015,30-11-2012,15-07-2016,N.A.,N.A.,30-11-2012,31-07-2016,30-11-2012,24-01-2017,N.A.,N.A.
150,BARA PRAYAGRAJ STPP UNIT-2 (3X660 MW) ,PRIVATE,660,21-10-2009,UTTAR PRADESH ,BTG,PSNR,"PPGCL,(JP ASSOCIATES)",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-04-2011,12-09-2011,N.A.,N.A.,20-10-2011,21-06-2012,20-11-2012,29-01-2015,20-07-2013,03-03-2016,N.A.,N.A.,21-07-2013,02-04-2016,20-08-2013,03-04-2016,01-10-2013,23-04-2016,20-10-2013,15-05-2016,N.A.,N.A.,21-07-2012,10-06-2013,21-08-2012,20-09-2013,20-07-2013,14-05-2015,21-08-2013,05-11-2015,20-09-2013,16-03-2016,20-10-2013,18-03-2016,N.A.,N.A.,20-12-2013,07-07-2016,20-01-2014,06-09-2016,N.A.,N.A.,20-02-2014,09-09-2016,20-02-2014,20-11-2016,N.A.,N.A.
151,SINGARENI (ADILABAD) UNIT-2 (2X600 MW),CENTRAL,600,11-11-2011,TELANGANA,BTG + CIVIL+SWITCHYARD,PSER,SCCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,12-12-2012,28-05-2013,08-06-2013,14-12-2013,N.A.,N.A.,10-04-2014,03-11-2014,28-09-2014,03-08-2015,N.A.,N.A.,,17-01-2016,,22-01-2016,,29-02-2016,,25-03-2016,N.A.,N.A.,14-09-2013,14-08-2014,N.A.,N.A.,09-09-2014,03-11-2015,,20-11-2015,,05-03-2016,,30-04-2016,N.A.,N.A.,09-03-2015,28-05-2016,09-04-2015,25-11-2016,N.A.,N.A.,09-06-2015,02-12-2016,09-06-2015,02-12-2016,N.A.,N.A.
152,SAGARDIGHI TPP UNIT-4 (2X500 MW),STATE,500,22-02-2011,WEST BENGAL,BTG+CIVIL,PSER,WBPDCL,N.A.,N.A.,N.A.,N.A.,09-12-2011,22-09-2011,04-06-2012,16-03-2012,22-11-2012,25-01-2013,N.A.,N.A.,08-10-2013,21-04-2014,22-07-2014,19-02-2016,N.A.,N.A.,25-07-2014,09-03-2016,05-08-2014,13-03-2016,07-08-2014,30-04-2016,01-09-2014,09-07-2016,N.A.,N.A.,25-02-2013,27-08-2013,N.A.,N.A.,08-07-2014,10-02-2016,24-07-2014,04-03-2016,08-09-2014,07-05-2016,25-09-2014,09-08-2016,N.A.,N.A.,22-11-2014,15-10-2016,22-12-2014,15-12-2016,N.A.,N.A.,22-02-2015,20-12-2016,22-12-2014,07-10-2017,22-02-2015,
153,NASIK INDIA BULLS PH-I UNIT-2 (5 X 270 MW ),PRIVATE,270,24-11-2009,MAHARASHTRA,BTG,PSWR,INDIA BULLS,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,24-09-2010,08-12-2010,24-02-2011,27-07-2011,N.A.,N.A.,24-12-2011,03-07-2012,24-04-2012,27-11-2013,N.A.,N.A.,10-05-2012,01-01-2014,15-05-2012,06-01-2014,20-05-2012,01-03-2014,14-06-2012,14-03-2014,N.A.,N.A.,24-05-2011,28-09-2011,N.A.,N.A.,24-04-2012,16-10-2013,10-05-2012,09-10-2013,14-06-2012,13-01-2014,18-06-2012,10-03-2014,N.A.,N.A.,24-06-2012,21-03-2016,24-08-2012,15-02-2017,N.A.,N.A.,24-10-2012,31-03-2016,24-10-2012,31-03-2016,24-10-2012,01-04-2016
154,MAUDA THERMAL POWER PROJECT UNIT-4 (2X660 MW),CENTRAL,660,30-03-2012,MAHARASHTRA,BTG,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,29-07-2013,19-12-2013,N.A.,N.A.,08-02-2014,27-01-2015,28-02-2015,10-08-2016,28-01-2016,13-12-2016,N.A.,N.A.,29-01-2016,16-12-2016,06-02-2016,23-12-2016,29-02-2016,21-01-2017,30-03-2016,17-02-2017,N.A.,N.A.,27-08-2014,15-10-2015,27-10-2014,16-10-2015,30-11-2015,13-09-2016,31-12-2015,22-08-2016,31-01-2016,30-01-2017,28-02-2016,31-01-2017,N.A.,N.A.,30-06-2016,18-03-2017,31-08-2016,18-03-2017,N.A.,N.A.,30-11-2016,20-08-2017,31-10-2016,23-10-2017,N.A.,N.A.
155,BONGAIGAON PROJECT UNIT-2 (3 X 250 MW) ,CENTRAL,250,05-02-2008,ASSAM,BTG,PSER,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-03-2009,11-03-2010,05-07-2009,12-10-2010,N.A.,N.A.,05-04-2010,10-04-2012,05-09-2010,27-03-2016,N.A.,N.A.,10-09-2010,30-04-2016,17-09-2010,04-05-2016,20-09-2010,03-10-2016,20-10-2010,30-11-2016,N.A.,N.A.,05-11-2009,30-01-2016,05-01-2010,30-01-2016,05-09-2010,23-01-2017,11-09-2010,10-09-2016,04-10-2010,22-12-2016,12-11-2010,25-01-2017,N.A.,N.A.,05-12-2010,13-02-2017,05-03-2011,22-03-2017,N.A.,N.A.,05-03-2011,01-11-2017,05-03-2011,09-12-2017,N.A.,N.A.
156,MUZAFFARPUR TPP STG.II UNIT-4 (2X195 MW) ,CENTRAL,195,12-03-2010,BIHAR,BTG,PSER,KANTI BIJALI UTPADAN NIGAM LTD,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,11-03-2011,03-04-2012,11-07-2011,12-09-2012,N.A.,N.A.,11-04-2012,05-08-2013,11-08-2012,23-08-2015,N.A.,N.A.,31-08-2012,10-10-2015,30-08-2012,13-10-2015,20-09-2012,05-11-2015,11-10-2012,25-11-2015,N.A.,N.A.,11-11-2011,17-10-2014,11-12-2011,15-05-2015,11-09-2012,09-01-2016,20-09-2012,07-12-2015,11-10-2012,08-03-2016,10-10-2012,16-03-2016,N.A.,N.A.,11-12-2012,24-03-2016,11-02-2013,24-03-2017,N.A.,N.A.,11-02-2013,29-04-2017,11-02-2013,07-03-2018,N.A.,N.A.
157,BHAVNAGAR CFBC BECL UNIT-2 ( 2X 250 MW),PRIVATE,250,18-02-2010,GUJARAT,BTG,PSWR,GSECL,N.A.,N.A.,01-11-2010,08-11-2010,N.A.,N.A.,20-03-2011,15-05-2012,22-08-2011,13-10-2012,N.A.,N.A.,20-06-2012,29-06-2014,16-11-2012,15-12-2015,N.A.,N.A.,17-12-2012,28-01-2016,16-01-2013,31-01-2016,01-01-2013,14-02-2016,31-01-2013,03-03-2016,N.A.,N.A.,20-10-2011,23-12-2013,N.A.,N.A.,18-10-2012,22-12-2014,17-11-2012,13-06-2015,17-12-2012,04-02-2016,18-01-2013,12-02-2016,N.A.,N.A.,17-03-2013,09-06-2016,05-05-2013,27-03-2017,05-05-2013,27-03-2017,05-05-2013,27-03-2017,07-05-2013,,N.A.,N.A.
158,YERMARUS TPS UNIT-2 (2X800 MW) ,STATE,800,09-04-2010,KARNATAKA,BTG + CIVIL+CHP+AHP+MRS,PSSR,RPCL,N.A.,N.A.,N.A.,N.A.,01-04-2011,01-04-2012,25-01-2012,03-12-2012,N.A.,N.A.,25-01-2012,31-07-2013,08-07-2013,30-12-2014,08-03-2014,25-02-2016,N.A.,N.A.,15-04-2014,04-03-2016,30-04-2014,09-03-2016,15-05-2014,28-04-2016,08-06-2014,15-06-2016,N.A.,N.A.,09-07-2012,22-04-2014,N.A.,N.A.,08-02-2014,30-11-2015,10-05-2014,20-11-2015,31-05-2014,10-02-2016,31-03-2014,31-03-2016,N.A.,N.A.,08-07-2014,21-07-2016,08-10-2014,29-03-2017,N.A.,N.A.,08-10-2014,06-04-2017,08-10-2014,31-01-2022,N.A.,N.A.
159,UNCHAHAR STAGE-IV UNIT-6 (1X500 MW),PRIVATE,500,15-11-2013,UTTAR PRADESH,BTG + ELECTRICS + SWITCHYARD + ENGG. OF BOP PKGS.,PSNR,NBPPL (NTPC BHEL POWER PROJECTS PVT. LTD.),15-11-2013,15-11-2013,N.A.,N.A.,N.A.,N.A.,15-09-2014,08-06-2015,15-02-2015,14-10-2015,N.A.,N.A.,15-01-2016,24-06-2016,31-08-2016,26-01-2017,N.A.,N.A.,,18-01-2017,,30-01-2017,,22-02-2017,15-11-2016,10-03-2017,N.A.,N.A.,15-06-2015,29-02-2016,15-07-2015,29-02-2016,15-09-2016,19-10-2016,,16-11-2016,15-11-2016,14-03-2017,25-11-2016,26-03-2017,N.A.,N.A.,30-11-2016,31-03-2017,05-12-2016,31-03-2017,N.A.,N.A.,14-04-2017,01-09-2017,14-04-2017,30-10-2017,N.A.,N.A.
160,NABINAGAR UNIT-2 (4X250 MW ),CENTRAL,250,22-01-2008,BIHAR,BTG,PSER,BRBCL,01-10-2010,01-10-2010,N.A.,N.A.,N.A.,N.A.,31-08-2011,20-12-2011,31-12-2011,21-03-2013,N.A.,N.A.,30-09-2012,02-03-2015,28-02-2013,02-10-2016,N.A.,N.A.,03-03-2013,14-10-2016,08-03-2013,15-10-2016,10-03-2013,28-01-2017,31-03-2013,21-02-2017,N.A.,N.A.,31-05-2012,06-10-2015,31-07-2012,30-11-2015,31-03-2013,31-03-2017,03-04-2013,29-12-2016,30-04-2013,30-03-2017,10-05-2013,31-03-2017,N.A.,N.A.,31-05-2013,01-04-2017,31-08-2013,03-04-2017,31-08-2013,03-04-2017,31-08-2013,31-08-2017,31-08-2013,19-09-2018,N.A.,N.A.
161,NASIK INDIA BULLS PH-I UNIT-3 (5 X 270 MW ),PRIVATE,270,24-11-2009,MAHARASHTRA,BTG,PSWR,INDIA BULLS,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,24-11-2010,10-01-2011,24-04-2011,12-12-2011,N.A.,N.A.,24-02-2012,30-10-2013,24-06-2012,29-09-2016,N.A.,N.A.,10-07-2012,04-10-2016,15-07-2012,07-10-2016,20-07-2012,25-11-2016,14-08-2012,06-12-2016,N.A.,N.A.,24-07-2011,04-01-2012,N.A.,N.A.,24-06-2012,25-01-2017,10-07-2012,29-10-2016,10-08-2012,29-12-2016,15-08-2012,27-01-2017,N.A.,N.A.,24-08-2012,13-04-2017,24-10-2012,14-04-2017,24-10-2012,14-04-2017,24-12-2012,14-04-2017,24-12-2012,30-10-2017,N.A.,N.A.
162,NASIK INDIA BULLS PH-I UNIT-4 (5 X 270 MW ),PRIVATE,270,24-11-2009,MAHARASHTRA,BTG,PSWR,INDIA BULLS,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,24-01-2011,16-05-2011,24-06-2011,23-12-2011,N.A.,N.A.,24-04-2012,09-08-2016,24-08-2012,30-12-2016,N.A.,N.A.,10-09-2012,15-01-2017,15-09-2012,18-01-2017,20-09-2012,04-02-2017,14-10-2012,13-02-2017,N.A.,N.A.,24-09-2011,12-04-2016,N.A.,N.A.,24-08-2012,29-03-2017,10-09-2012,30-01-2017,14-10-2012,04-03-2017,,29-03-2017,N.A.,N.A.,24-10-2012,19-05-2017,24-12-2012,19-05-2017,24-12-2012,19-05-2017,24-02-2013,19-05-2017,24-02-2013,31-01-2018,N.A.,N.A.
163,BARA PRAYAGRAJ STPP UNIT-3 (3X660 MW) ,PRIVATE,660,21-10-2009,UTTAR PRADESH,BTG,PSNR,"PPGCL,(JP ASSOCIATES)",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-09-2011,05-09-2011,N.A.,N.A.,20-03-2012,12-05-2012,20-04-2013,29-11-2014,20-12-2013,31-05-2016,N.A.,N.A.,21-12-2013,28-06-2016,20-01-2014,30-06-2016,01-03-2014,15-01-2017,20-03-2014,06-02-2017,N.A.,N.A.,21-12-2012,10-01-2014,21-01-2013,11-11-2014,20-12-2013,05-02-2017,21-01-2014,09-04-2016,20-02-2014,14-02-2017,20-03-2014,15-02-2017,N.A.,N.A.,20-05-2014,26-03-2017,20-06-2014,22-05-2017,20-06-2014,22-05-2017,20-07-2014,25-05-2017,20-07-2014,25-01-2018,N.A.,N.A.
164,NASIK INDIA BULLS PH-I UNIT-5 (5 X 270 MW ),PRIVATE,270,24-11-2009,MAHARASHTRA,BTG,PSWR,INDIA BULLS,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,24-03-2011,15-06-2011,24-08-2011,06-03-2012,N.A.,N.A.,24-06-2012,09-01-2017,24-10-2012,20-02-2017,N.A.,N.A.,10-11-2012,24-02-2017,15-11-2012,26-02-2017,20-11-2012,10-03-2017,14-12-2012,25-03-2017,N.A.,N.A.,24-11-2011,14-07-2016,N.A.,N.A.,24-10-2012,28-04-2017,10-11-2012,13-02-2017,14-12-2012,21-03-2017,17-12-2012,28-04-2017,N.A.,N.A.,24-12-2012,30-05-2017,24-02-2013,30-05-2017,24-02-2013,30-05-2017,24-02-2013,,24-04-2013,,N.A.,N.A.
165,BARAUNI UNIT-8 (2X250MW),STATE,250,11-03-2011,BIHAR,EPC,PSER,BSEB,11-03-2011,11-03-2011,18-05-2011,04-05-2011,25-10-2011,20-01-2012,15-03-2012,10-12-2012,21-08-2012,05-06-2013,N.A.,N.A.,22-04-2013,21-08-2014,21-10-2013,18-06-2017,N.A.,N.A.,24-10-2013,29-06-2017,10-11-2013,23-07-2017,13-11-2013,08-08-2017,15-12-2013,03-09-2017,N.A.,N.A.,11-09-2012,21-08-2014,09-11-2012,12-09-2014,11-08-2013,30-12-2015,27-09-2013,09-07-2016,26-10-2013,16-01-2017,11-12-2013,19-06-2017,N.A.,N.A.,10-01-2014,14-11-2017,10-02-2014,11-01-2018,10-02-2014,11-01-2018,10-02-2014,01-03-2020,10-03-2014,09-03-2020,N.A.,N.A.
166,RAYALASEEMA STG-IV (600 MW),STATE,600,10-02-2011,AHDHRA PRADESH,BTG+ SWITCHYARD WITH CIVIL,PSSR,APGENCO,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,10-02-2012,04-02-2013,10-08-2012,30-11-2013,N.A.,N.A.,10-08-2013,10-11-2015,10-02-2014,29-12-2016,N.A.,N.A.,25-02-2014,23-02-2017,28-02-2014,25-02-2017,30-03-2014,18-04-2017,10-05-2014,13-05-2017,N.A.,N.A.,10-06-2012,07-03-2016,10-08-2012,01-05-2016,10-02-2014,20-06-2017,01-03-2014,24-02-2017,10-03-2014,18-05-2017,10-04-2014,21-06-2017,N.A.,N.A.,10-06-2014,02-07-2017,10-07-2014,12-03-2018,N.A.,N.A.,10-08-2014,28-03-2018,10-08-2014,27-04-2018,N.A.,N.A.
167,BARAUNI UNIT-9 (2X250MW),STATE,250,11-03-2011,BIHAR,EPC,PSER,BSEB,11-03-2011,11-03-2011,18-05-2011,04-05-2011,25-10-2011,20-01-2012,15-06-2012,21-01-2013,21-11-2012,15-09-2013,N.A.,N.A.,22-07-2013,21-09-2014,21-01-2014,28-08-2017,N.A.,N.A.,,25-01-2018,,15-02-2018,13-02-2014,22-02-2018,15-03-2014,09-03-2018,N.A.,N.A.,11-12-2012,22-08-2014,09-02-2013,25-08-2014,11-11-2013,17-03-2018,27-12-2013,20-06-2017,26-01-2014,08-02-2018,11-03-2014,18-03-2018,N.A.,N.A.,10-04-2014,31-03-2018,10-05-2014,31-03-2018,10-05-2014,31-03-2018,10-05-2014,,10-06-2014,,N.A.,N.A.
168,SOLAPUR (ESP PACKAGE) UNIT-1 (2X660 MW),CENTRAL,0,09-04-2012,MAHARASHTRA,ESP PACKAGE ONLY,PSWR,NTPC,09-04-2012,09-04-2012,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-04-2015,20-08-2016,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,07-08-2015,25-03-2017,09-08-2015,07-04-2017,05-12-2015,07-04-2017,05-12-2015,25-09-2017,05-12-2015,24-08-2017,N.A.,N.A.
169,LARA (ESP PKG) UNIT-1 (2X800 MW),CENTRAL,0,31-12-2013,CHHATISHGARH,ESP PACKAGE ONLY,PSWR,NTPC,31-12-2013,31-12-2013,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,29-02-2016,01-01-2017,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-06-2016,09-09-2017,30-08-2016,23-03-2018,30-08-2016,23-03-2018,30-08-2016,01-10-2019,30-11-2016,05-03-2019,N.A.,N.A.
170,KOTHAGUDEM (1X800 MW),STATE,800,01-01-2015,TELANGANA,EPC,PSSR,TSGENCO,01-01-2015,01-01-2015,N.A.,N.A.,N.A.,N.A.,15-09-2015,24-01-2016,N.A.,N.A.,29-02-2016,17-08-2016,31-12-2016,22-09-2017,31-05-2017,31-01-2018,N.A.,N.A.,15-06-2017,29-03-2018,30-06-2017,01-04-2018,15-07-2017,16-04-2018,05-08-2017,30-05-2018,N.A.,N.A.,01-06-2016,25-11-2016,01-07-2016,13-03-2017,31-07-2017,25-01-2018,01-07-2017,08-02-2018,31-08-2017,28-03-2018,15-09-2017,31-03-2018,29-09-2017,30-06-2018,30-09-2017,30-06-2018,30-11-2017,05-10-2018,31-12-2017,26-12-2018,31-12-2017,26-12-2018,31-12-2017,19-02-2019,N.A.,N.A.
171,NABINAGAR UNIT-3 (4X250 MW ),CENTRAL,250,22-01-2008,BIHAR,BTG,PSER,BRBCL,01-10-2010,01-10-2010,N.A.,N.A.,N.A.,N.A.,30-11-2011,25-05-2012,31-03-2012,10-06-2013,N.A.,N.A.,31-12-2012,30-11-2016,31-05-2013,13-09-2018,N.A.,N.A.,03-06-2013,22-09-2018,08-06-2013,03-10-2018,10-06-2013,03-11-2018,30-06-2013,17-11-2018,N.A.,N.A.,31-08-2012,18-08-2016,31-10-2012,02-01-2017,30-06-2013,31-03-2018,03-07-2013,20-02-2018,31-07-2013,26-07-2018,10-08-2013,01-11-2018,N.A.,N.A.,31-08-2013,31-12-2018,30-11-2013,23-01-2019,30-11-2013,20-02-2019,30-11-2013,20-02-2019,30-11-2013,11-09-2019,N.A.,N.A.
172,BONGAIGAON PROJECT UNIT-3 (3 X 250 MW) ,CENTRAL,250,05-02-2008,ASSAM,BTG,PSER,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-07-2009,02-04-2012,05-11-2009,25-02-2013,N.A.,N.A.,05-08-2010,22-03-2014,05-01-2011,01-07-2017,N.A.,N.A.,10-01-2011,15-06-2018,16-01-2011,19-06-2018,20-01-2011,03-08-2018,20-02-2011,10-09-2018,N.A.,N.A.,05-03-2010,13-12-2016,06-05-2010,13-12-2016,05-01-2011,21-11-2018,11-01-2011,19-03-2018,04-02-2011,26-07-2018,12-03-2011,26-07-2018,N.A.,N.A.,05-04-2011,02-01-2019,05-07-2011,10-02-2019,05-07-2011,26-03-2019,05-07-2011,26-03-2019,05-07-2011,26-03-2019,N.A.,N.A.
173,GADARWARA UNIT-1 (2X800 MW),CENTRAL,800,22-03-2013,MADHYA PRADESH,BTG,PSNR,NTPC,22-03-2013,22-03-2013,N.A.,N.A.,N.A.,N.A.,22-03-2014,27-11-2014,N.A.,N.A.,01-11-2014,29-08-2015,22-07-2015,05-12-2016,10-03-2016,22-04-2017,22-03-2016,02-05-2017,N.A.,N.A.,N.A.,N.A.,22-04-2016,15-06-2017,22-05-2016,21-07-2017,N.A.,N.A.,22-01-2015,05-03-2016,22-03-2015,15-04-2016,22-01-2016,22-08-2017,30-01-2016,22-02-2017,22-03-2016,03-07-2017,22-04-2016,09-09-2017,N.A.,N.A.,22-07-2016,30-08-2018,22-09-2016,13-10-2018,22-09-2016,29-03-2019,22-09-2016,01-06-2019,22-10-2016,06-06-2019,22-11-2016,14-08-2019
174,SOLAPUR (ESP PACKAGE) UNIT-2 (2X660 MW),CENTRAL,0,09-04-2012,MAHARASHTRA,ESP PACKAGE ONLY,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-10-2015,30-11-2018,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,07-02-2016,15-02-2019,09-02-2016,21-03-2019,05-06-2016,30-03-2019,05-06-2016,30-03-2019,05-06-2016,21-03-2019,N.A.,N.A.
175,IB VALLEY TPS. BANHARPALL UNIT-3 (2X660 MW) ,STATE,660,26-03-2014,ODISHA,BTG,PSER,OPGC,26-03-2014,26-03-2014,N.A.,N.A.,N.A.,N.A.,21-11-2014,20-01-2015,N.A.,N.A.,19-06-2015,25-07-2016,11-09-2016,26-12-2017,09-04-2017,18-11-2018,N.A.,N.A.,19-04-2017,13-12-2018,09-05-2017,16-12-2018,08-06-2017,24-01-2019,08-07-2017,23-02-2019,N.A.,N.A.,16-11-2015,11-03-2016,15-01-2016,30-07-2016,09-04-2017,30-09-2017,15-04-2017,19-02-2018,24-05-2017,05-06-2018,08-06-2017,09-10-2018,N.A.,N.A.,07-08-2017,30-03-2019,14-08-2017,20-04-2019,06-09-2017,01-07-2019,13-09-2017,04-07-2019,06-09-2017,02-07-2019,13-09-2017,
176,IB VALLEY TPS. BANHARPALL UNIT-4 (2X660 MW),STATE,660,26-03-2014,ODISHA,BTG,PSER,OPGC,24-07-2014,10-07-2014,N.A.,N.A.,N.A.,N.A.,21-03-2015,29-05-2015,N.A.,N.A.,17-10-2015,25-07-2016,09-01-2017,30-11-2017,07-08-2017,31-08-2018,N.A.,N.A.,17-08-2017,11-09-2018,06-09-2017,15-09-2018,06-10-2017,31-10-2018,10-11-2017,07-12-2018,N.A.,N.A.,14-05-2016,02-08-2016,07-08-2016,19-01-2017,22-08-2017,27-12-2017,21-09-2017,07-04-2018,06-10-2017,21-06-2018,13-10-2017,09-10-2018,N.A.,N.A.,13-12-2017,23-01-2019,04-01-2018,11-05-2019,18-01-2018,16-08-2019,18-01-2018,21-08-2019,18-01-2018,17-08-2019,18-01-2018,
